GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Solar_Distributed,2045.04.22.08,0.3554023459921259
Anhui-Solar_Distributed,2045.04.22.12,0.663897209569683
Anhui-Solar_Distributed,2045.04.22.16,0.1968447659124799
Anhui-Solar_Distributed,2045.04.22.20,0.0
Anhui-Solar_Distributed,2045.05.29.00,0.0
Anhui-Solar_Distributed,2045.05.29.04,0.0
Anhui-Solar_Distributed,2045.05.29.08,0.1574620020782159
Anhui-Solar_Distributed,2045.05.29.12,0.2635089892393416
Anhui-Solar_Distributed,2045.05.29.16,0.0928259577708654
Anhui-Solar_Distributed,2045.05.29.20,0.0
Anhui-Solar_Distributed,2045.06.25.00,0.0
Anhui-Solar_Distributed,2045.06.25.04,0.0
Anhui-Solar_Distributed,2045.06.25.08,0.3374781687823018
Anhui-Solar_Distributed,2045.06.25.12,0.5495268249363862
Anhui-Solar_Distributed,2045.06.25.16,0.2583952492787615
Anhui-Solar_Distributed,2045.06.25.20,0.0
Anhui-Solar_Distributed,2045.07.07.00,0.0
Anhui-Solar_Distributed,2045.07.07.04,0.0
Anhui-Solar_Distributed,2045.07.07.08,0.3116164398167514
Anhui-Solar_Distributed,2045.07.07.12,0.5155460341681413
Anhui-Solar_Distributed,2045.07.07.16,0.2065807171947387
Anhui-Solar_Distributed,2045.07.07.20,0.0
Anhui-Solar_Distributed,2045.08.14.00,0.0
Anhui-Solar_Distributed,2045.08.14.04,0.0
Anhui-Solar_Distributed,2045.08.14.08,0.2196152563913483
Anhui-Solar_Distributed,2045.08.14.12,0.3771255469120924
Anhui-Solar_Distributed,2045.08.14.16,0.1147229307620225
Anhui-Solar_Distributed,2045.08.14.20,0.0
Anhui-Solar_Distributed,2045.09.17.00,0.0
Anhui-Solar_Distributed,2045.09.17.04,0.0
Anhui-Solar_Distributed,2045.09.17.08,0.171845386728933
Anhui-Solar_Distributed,2045.09.17.12,0.2260483409179326
Anhui-Solar_Distributed,2045.09.17.16,0.055636586327562
Anhui-Solar_Distributed,2045.09.17.20,0.0
Anhui-Solar_Distributed,2045.10.27.00,0.0
Anhui-Solar_Distributed,2045.10.27.04,0.0
Anhui-Solar_Distributed,2045.10.27.08,0.1780218059967326
Anhui-Solar_Distributed,2045.10.27.12,0.4493009248470397
Anhui-Solar_Distributed,2045.10.27.16,0.0717165273483438
Anhui-Solar_Distributed,2045.10.27.20,0.0
Anhui-Solar_Distributed,2045.11.02.00,0.0
Anhui-Solar_Distributed,2045.11.02.04,0.0
Anhui-Solar_Distributed,2045.11.02.08,0.2432551543144052
Anhui-Solar_Distributed,2045.11.02.12,0.6029051343891063
Anhui-Solar_Distributed,2045.11.02.16,0.1351928348108571
Anhui-Solar_Distributed,2045.11.02.20,0.0
Anhui-Solar_Distributed,2045.12.03.00,0.0
Anhui-Solar_Distributed,2045.12.03.04,0.0
Anhui-Solar_Distributed,2045.12.03.08,0.1226603268254486
Anhui-Solar_Distributed,2045.12.03.12,0.4855369526868919
Anhui-Solar_Distributed,2045.12.03.16,0.0727403347204878
Anhui-Solar_Distributed,2045.12.03.20,0.0
Anhui-Solar_Distributed,2050.01.04.00,0.0
Anhui-Solar_Distributed,2050.01.04.04,0.0
Anhui-Solar_Distributed,2050.01.04.08,0.0848571395196473
Anhui-Solar_Distributed,2050.01.04.12,0.3482558823978321
Anhui-Solar_Distributed,2050.01.04.16,0.029110283578666
Anhui-Solar_Distributed,2050.01.04.20,0.0
Anhui-Solar_Distributed,2050.02.03.00,0.0
Anhui-Solar_Distributed,2050.02.03.04,0.0
Anhui-Solar_Distributed,2050.02.03.08,0.2307498398336932
Anhui-Solar_Distributed,2050.02.03.12,0.4923498288649727
Anhui-Solar_Distributed,2050.02.03.16,0.087363755748397
Anhui-Solar_Distributed,2050.02.03.20,0.0
Anhui-Solar_Distributed,2050.03.16.00,0.0
Anhui-Solar_Distributed,2050.03.16.04,0.0
Anhui-Solar_Distributed,2050.03.16.08,0.1388273352949929
Anhui-Solar_Distributed,2050.03.16.12,0.4761120501921009
Anhui-Solar_Distributed,2050.03.16.16,0.1235024332517464
Anhui-Solar_Distributed,2050.03.16.20,0.0
Anhui-Solar_Distributed,2050.04.29.00,0.0
Anhui-Solar_Distributed,2050.04.29.04,0.0
Anhui-Solar_Distributed,2050.04.29.08,0.3727926044942828
Anhui-Solar_Distributed,2050.04.29.12,0.6146660990321047
Anhui-Solar_Distributed,2050.04.29.16,0.2250762966842937
Anhui-Solar_Distributed,2050.04.29.20,0.0
Anhui-Solar_Distributed,2050.05.17.00,0.0
Anhui-Solar_Distributed,2050.05.17.04,0.0
Anhui-Solar_Distributed,2050.05.17.08,0.3277280135731662
Anhui-Solar_Distributed,2050.05.17.12,0.5237780147361948
Anhui-Solar_Distributed,2050.05.17.16,0.1883119123244521
Anhui-Solar_Distributed,2050.05.17.20,0.0
Anhui-Solar_Distributed,2050.06.12.00,0.0
Anhui-Solar_Distributed,2050.06.12.04,0.0
Anhui-Solar_Distributed,2050.06.12.08,0.1680956190408578
Anhui-Solar_Distributed,2050.06.12.12,0.2604073855174812
Anhui-Solar_Distributed,2050.06.12.16,0.0765209526720008
Anhui-Solar_Distributed,2050.06.12.20,0.0
Anhui-Solar_Distributed,2050.07.23.00,0.0
Anhui-Solar_Distributed,2050.07.23.04,0.0
Anhui-Solar_Distributed,2050.07.23.08,0.2211197850037877
Anhui-Solar_Distributed,2050.07.23.12,0.41797936524551
Anhui-Solar_Distributed,2050.07.23.16,0.1952571360279806
Anhui-Solar_Distributed,2050.07.23.20,0.0
Anhui-Solar_Distributed,2050.08.20.00,0.0
Anhui-Solar_Distributed,2050.08.20.04,0.0
Anhui-Solar_Distributed,2050.08.20.08,0.1710414565487145
Anhui-Solar_Distributed,2050.08.20.12,0.3315647991294024
Anhui-Solar_Distributed,2050.08.20.16,0.0939605675334556
Anhui-Solar_Distributed,2050.08.20.20,0.0
Anhui-Solar_Distributed,2050.09.13.00,0.0
Anhui-Solar_Distributed,2050.09.13.04,0.0
Anhui-Solar_Distributed,2050.09.13.08,0.2026029777247932
Anhui-Solar_Distributed,2050.09.13.12,0.5016088295074134
Anhui-Solar_Distributed,2050.09.13.16,0.1706544558704704
Anhui-Solar_Distributed,2050.09.13.20,0.0
Anhui-Solar_Distributed,2050.10.22.00,0.0
Anhui-Solar_Distributed,2050.10.22.04,0.0
Anhui-Solar_Distributed,2050.10.22.08,0.2931447540313372
